Title,Date & Time,Summary,Article,Annotated_Summary,Generated_Summary
Ex-mayor and NCP (SP) leader Mahesh Kothe dies of heart attack after Prayagraj holy dip,"January 14, 2025 7:23 pm","The incident occurred around 7:30 AM at the Triveni Sangam, a confluence of the Ganga, Yamuna, and the legendary Saraswati River.","Ex-mayor and NCP (SP) leader Mahesh Kothe dies of heart attack after Prayagraj holy dip. The incident occurred around 7:30 AM at the Triveni Sangam, a confluence of the Ganga, Yamuna, and the legendary Saraswati River.","The incident occurred around 7:30 AM at the Triveni Sangam, a confluence of the Ganga, Yamuna, and the legendary Saraswati River.","The incident occurred around 7:30 AM at the Triveni Sangam, a confluence of the Ganga, Yamuna, and the legendary Saraswati River."
Mahakumbh and Kumbh mela: Know the key differences,"January 16, 2025 7:44 pm","Mahakumbh vs Kumbh: While both festivals share deep religious significance and celestial connections, there are key distinctions that set them apart","Mahakumbh and Kumbh mela: Know the key differences. Mahakumbh vs Kumbh: While both festivals share deep religious significance and celestial connections, there are key distinctions that set them apart","Mahakumbh vs Kumbh: While both festivals share deep religious significance and celestial connections, there are key distinctions that set them apart","While both festivals share deep religious significance and celestial connections, there are key distinctions that set them apart. Mahakumbh vs Kumbh: While both festivals share deep religious significance and celestial connections, there are key distinctions that set them apart."
Mahakumbh 2025: Top 10 must-visit places to explore near Prayagraj during Kumbh Mela,"January 14, 2025 4:55 pm","Mahakumbh 2025 places to visit: Today, the Kumbh Mela stands as the largest religious gathering in the world, deeply intertwined with Hindu mythology.","Mahakumbh 2025: Top 10 must-visit places to explore near Prayagraj during Kumbh Mela. Mahakumbh 2025 places to visit: Today, the Kumbh Mela stands as the largest religious gathering in the world, deeply intertwined with Hindu mythology.","Mahakumbh 2025 places to visit: Today, the Kumbh Mela stands as the largest religious gathering in the world, deeply intertwined with Hindu mythology.","Mahakumbh 2025: Top 10 must-visit places to explore near Prayagraj during Kumbh Mela. Today, the Kumbh Mela stands as the largest religious gathering in the world, deeply intertwined with Hindu mythology."
1 crore devotees take holy dip at Maha Kumbh Mela as Amrit Snan begins at Sangam,"January 14, 2025 10:52 am","From early morning, devotees thronged the Nagvasuki temple and Sangam area in Prayagraj. Chants of Har Har Mahadev and Jai Shri Ram echoed across the 12-km stretch of the bathing ghats.","1 crore devotees take holy dip at Maha Kumbh Mela as Amrit Snan begins at Sangam. From early morning, devotees thronged the Nagvasuki temple and Sangam area in Prayagraj. Chants of Har Har Mahadev and Jai Shri Ram echoed across the 12-km stretch of the bathing ghats.","From early morning, devotees thronged the Nagvasuki temple and Sangam area in Prayagraj. Chants of Har Har Mahadev and Jai Shri Ram echoed across the 12-km stretch of the bathing ghats.","From early morning, devotees thronged the Nagvasuki temple and Sangam area in Prayagraj. Chants of Har Har Mahadev and Jai Shri Ram echoed across the 12-km stretch of the bathing ghats."
Mahakumbh Mela: The diversities and social meanings,"January 06, 2025 7:43 pm","From communities coming together to a vibrant marketplace for small businesses, the massive event is an opportunity at multiple levels.","Mahakumbh Mela: The diversities and social meanings. From communities coming together to a vibrant marketplace for small businesses, the massive event is an opportunity at multiple levels.","From communities coming together to a vibrant marketplace for small businesses, the massive event is an opportunity at multiple levels.","From communities coming together to a vibrant marketplace for small businesses, the massive event is an opportunity at multiple levels. From communities coming together to a vibrant marketplace for small businesses, the massive event is an opportunity at multiple levels."
Maha Kumbh 2025: How is Maha Kumbh different from Kumbh,"January 02, 2025 3:50 pm","Mahakumbh vs Kumbh: These are two significant Hindu religious gatherings that attract millions of devotees; however, there are some differences between the two; check below.","Maha Kumbh 2025: How is Maha Kumbh different from Kumbh. Mahakumbh vs Kumbh: These are two significant Hindu religious gatherings that attract millions of devotees; however, there are some differences between the two; check below.","Mahakumbh vs Kumbh: These are two significant Hindu religious gatherings that attract millions of devotees; however, there are some differences between the two; check below.","Mahakumbh vs Kumbh: These are two significant Hindu religious gatherings that attract millions of devotees; however, there are some differences between the two; check below."
"Maha Kumbh Mela 2025 All you need to know: When will it start? Know the dates of royal bath, significance, and more","January 02, 2025 3:08 pm","Maha Kumbh 2025 Date, Place, Events, Key Ritual and Cultural Significance: The Maha Kumbh Mela 2025 is scheduled to commence on January 13, 2025, with the Paush Purnima Snan, and will conclude on February 26, 2025, coinciding with Maha Shivratri.","Maha Kumbh Mela 2025 All you need to know: When will it start? Know the dates of royal bath, significance, and more. Maha Kumbh 2025 Date, Place, Events, Key Ritual and Cultural Significance: The Maha Kumbh Mela 2025 is scheduled to commence on January 13, 2025, with the Paush Purnima Snan, and will conclude on February 26, 2025, coinciding with Maha Shivratri.","Maha Kumbh 2025 Date, Place, Events, Key Ritual and Cultural Significance: The Maha Kumbh Mela 2025 is scheduled to commence on January 13, 2025, with the Paush Purnima Snan, and will conclude on February 26, 2025, coinciding with Maha Shivratri.","The Maha Kumbh Mela 2025 is scheduled to commence on January 13, 2025, with the Paush Purnima Snan, and will conclude on February 26, 2025, coinciding with Maha Shivratri."
"CM Yogi unveils Mahakumbh logo, says no sale of meat & liquor within Prayagraj","November 14, 2024 4:00 pm","The CM also directed the officials to ensure the steel bridge is completed by the first week of December to facilitate an easy access to Prayagraj from Kanpur, Lucknow, Barabanki, and Ayodhya.","CM Yogi unveils Mahakumbh logo, says no sale of meat & liquor within Prayagraj. The CM also directed the officials to ensure the steel bridge is completed by the first week of December to facilitate an easy access to Prayagraj from Kanpur, Lucknow, Barabanki, and Ayodhya.","The CM also directed the officials to ensure the steel bridge is completed by the first week of December to facilitate an easy access to Prayagraj from Kanpur, Lucknow, Barabanki, and Ayodhya.","The CM also directed the officials to ensure the steel bridge is completed by the first week of December to facilitate an easy access to Prayagraj from Kanpur, Lucknow, Barabanki, and Ayodhya."
Govt developing AI chatbot to provide personalised help to Maha Kumbh visitors,"November 14, 2024 4:00 pm","The UP Development Systems Corporation Limited, which has been entrusted with the task, aims to complete development within 6 months","Govt developing AI chatbot to provide personalised help to Maha Kumbh visitors. The UP Development Systems Corporation Limited, which has been entrusted with the task, aims to complete development within 6 months","The UP Development Systems Corporation Limited, which has been entrusted with the task, aims to complete development within 6 months","AI chatbot to provide personalised help to Maha Kumbh visitors. The UP Development Systems Corporation Limited, which has been entrusted with the task, aims to complete development within 6 months."
Review meet ahead of Mahakumbh 2025,"November 14, 2024 4:00 pm","CM: Arrange 7,000 buses, set up 150,000 toilets for devotees.","Review meet ahead of Mahakumbh 2025. CM: Arrange 7,000 buses, set up 150,000 toilets for devotees.","CM: Arrange 7,000 buses, set up 150,000 toilets for devotees.","CM: Arrange 7,000 buses, set up 150,000 toilets for devotees. CM: Arrange 7,000 buses, set up 150,000 toilets for devotees."
"Tender for Prayagraj tent city with 2,000 beds to be floated today: Official","September 29, 2023 1:09 am","In 2025, different snans (holy baths), including six major snans, will take place during the 45-day event starting from January 13.","Tender for Prayagraj tent city with 2,000 beds to be floated today: Official. In 2025, different snans (holy baths), including six major snans, will take place during the 45-day event starting from January 13.","In 2025, different snans (holy baths), including six major snans, will take place during the 45-day event starting from January 13.","In 2025, different snans (holy baths), including six major snans, will take place during the 45-day event starting from January 13. In 2025, different snans (holy baths), including six major snans, will take place during the 45-day event starting from January 13."
"Maha Kumbh 2025: Govt inks MoU for 5,000 special accommodations","August 13, 2023 1:13 am","The Directorate of Tourism entered into a strategic Memorandum of Understanding (MoU) with Luzern Ventures Private Limited (OGA) on Friday, they said.","Maha Kumbh 2025: Govt inks MoU for 5,000 special accommodations. The Directorate of Tourism entered into a strategic Memorandum of Understanding (MoU) with Luzern Ventures Private Limited (OGA) on Friday, they said.","The Directorate of Tourism entered into a strategic Memorandum of Understanding (MoU) with Luzern Ventures Private Limited (OGA) on Friday, they said.","The Directorate of Tourism entered into a strategic Memorandum of Understanding (MoU) with Luzern Ventures Private Limited (OGA) on Friday, they said."
Happy with 'Mahakumbh' response: Gautam Rode,"December 29, 2014 7:30 pm","Actor Gautam Rode is happy with the response to his new show ""Mahakumbh- Ek Rahasaya Ek Kahani"".","Happy with 'Mahakumbh' response: Gautam Rode. Actor Gautam Rode is happy with the response to his new show ""Mahakumbh- Ek Rahasaya Ek Kahani"".","Actor Gautam Rode is happy with the response to his new show ""Mahakumbh- Ek Rahasaya Ek Kahani"".","Actor Gautam Rode is happy with the response to his new show ""Mahakumbh- Ek Rahasaya Ek Kahani"". ""Mahakumbh- Ek Rahasaya Ek Kahani"""
Ringing in the new,"December 12, 2014 1:00 am","After savouring the success of his immense popularity with Saraswatichandra, actor Gautam Rode has bagged a plum role in Mahakumbh on Life OK. With the show already creating a lot of buzz, the actor talks about his role, the loopholes in the television industry and his desire to become the precursor to the change that he wants to see in the medium","Ringing in the new. After savouring the success of his immense popularity with Saraswatichandra, actor Gautam Rode has bagged a plum role in Mahakumbh on Life OK. With the show already creating a lot of buzz, the actor talks about his role, the loopholes in the television industry and his desire to become the precursor to the change that he wants to see in the medium","After savouring the success of his immense popularity with Saraswatichandra, actor Gautam Rode has bagged a plum role in Mahakumbh on Life OK. With the show already creating a lot of buzz, the actor talks about his role, the loopholes in the television industry and his desire to become the precursor to the change that he wants to see in the medium","After savouring the success of his immense popularity with Saraswatichandra, actor Gautam Rode has bagged a plum role in Mahakumbh on Life OK. With the show already creating a lot of buzz, the actor talks about his role, the loopholes in the television industry and his desire to become the precursor to the change that he wants to see in the medium."
'Mahakumbh' is my most challenging TV show ever: Gautam Rode,"December 10, 2014 1:36 pm",Actor Gautam Rode says shooting his latest TV series 'Mahakumbh' is physically and mentally tasking.,'Mahakumbh' is my most challenging TV show ever: Gautam Rode. Actor Gautam Rode says shooting his latest TV series 'Mahakumbh' is physically and mentally tasking.,Actor Gautam Rode says shooting his latest TV series 'Mahakumbh' is physically and mentally tasking.,'Mahakumbh' is my most challenging TV show ever: Gautam Rode. Actor Gautam Rode says shooting his latest TV series 'Mahakumbh' is physically and mentally tasking.
Gautam Rode poses with Naga Sadhus for 'Mahakumbh',"November 10, 2014 6:27 pm","Gautam Rode showcases his muscular back inked with a huge tattoo as he stands amid a group of Naga Sadhus in the first look poster of his upcoming show ""Mahakumbh"".","Gautam Rode poses with Naga Sadhus for 'Mahakumbh'. Gautam Rode showcases his muscular back inked with a huge tattoo as he stands amid a group of Naga Sadhus in the first look poster of his upcoming show ""Mahakumbh"".","Gautam Rode showcases his muscular back inked with a huge tattoo as he stands amid a group of Naga Sadhus in the first look poster of his upcoming show ""Mahakumbh"".","Gautam Rode showcases his muscular back inked with a huge tattoo as he stands amid a group of Naga Sadhus in the first look poster of his upcoming show ""Mahakumbh""."
Silent Witnesses,"October 05, 2013 5:45 am","The photographs take a leap from photojournalism and is a haunting,poetic expression of his love for nature.","Silent Witnesses. The photographs take a leap from photojournalism and is a haunting,poetic expression of his love for nature.","The photographs take a leap from photojournalism and is a haunting,poetic expression of his love for nature.","The photographs take a leap from photojournalism and is a haunting,poetic expression of his love for nature. The photographs are a haunting,poetic expression of his love for nature."
130-yr-old documents reveal administrative history of Kumbh,"September 12, 2012 6:39 am",Archive plans exhibition during Mahakumbh.,130-yr-old documents reveal administrative history of Kumbh. Archive plans exhibition during Mahakumbh.,Archive plans exhibition during Mahakumbh.,Documents reveal administrative history of Kumbh. Archive plans exhibition during Mahakumbh. Archives plans exhibition during Mahakumbh.
"Shivpal on clean-up drive,warns PWD men over Mahakumbh","August 12, 2012 6:50 am","In denial mode after being quoted as telling officials that they could steal public money if they worked hard,state PWD minister Shivpal Yadav on Saturday said no official would be allowed to take commission or cut in executing works related to preparations for Mahakumbh,to be held in January-February 2013.","Shivpal on clean-up drive,warns PWD men over Mahakumbh. In denial mode after being quoted as telling officials that they could steal public money if they worked hard,state PWD minister Shivpal Yadav on Saturday said no official would be allowed to take commission or cut in executing works related to preparations for Mahakumbh,to be held in January-February 2013.","In denial mode after being quoted as telling officials that they could steal public money if they worked hard,state PWD minister Shivpal Yadav on Saturday said no official would be allowed to take commission or cut in executing works related to preparations for Mahakumbh,to be held in January-February 2013.","In denial mode after being quoted as telling officials that they could steal public money if they worked hard,state PWD minister Shivpal Yadav on Saturday said no official would allowed to take commission or cut in executing works related to preparations for Mahakumbh,to be held in January-February 2013."
"Probe reveals irregularities in Allahabad road repairs,cost to be recovered from contractors","July 31, 2012 3:52 am","Following detection of large-scale irregularities in filling up of roads dug up for laying sewer lines,the administration here has ordered that the cost of repairing them be recovered from the contractors responsible for the same.","Probe reveals irregularities in Allahabad road repairs,cost to be recovered from contractors. Following detection of large-scale irregularities in filling up of roads dug up for laying sewer lines,the administration here has ordered that the cost of repairing them be recovered from the contractors responsible for the same.","Following detection of large-scale irregularities in filling up of roads dug up for laying sewer lines,the administration here has ordered that the cost of repairing them be recovered from the contractors responsible for the same.","Following detection of large-scale irregularities in filling up of roads dug up for laying sewer lines,the administration here has ordered that the cost of repairing them be recovered from the contractors responsible for the same."
Mahakumbh: Depts asked to speed up work or face action,"July 15, 2012 4:48 am","Concerned over the slow progress of many projects related to Mahakumbh,particularly widening of roads in the city,the mela administration has asked all the departments to speed up their work or be prepared to face action.","Mahakumbh: Depts asked to speed up work or face action. Concerned over the slow progress of many projects related to Mahakumbh,particularly widening of roads in the city,the mela administration has asked all the departments to speed up their work or be prepared to face action.","Concerned over the slow progress of many projects related to Mahakumbh,particularly widening of roads in the city,the mela administration has asked all the departments to speed up their work or be prepared to face action.","Concerned over the slow progress of many projects related to Mahakumbh,particularly widening of roads in the city,the mela administration has asked all the departments to speed up their work or be prepared to face action."
"Feasibility doubtful,Qila Ghat may not be built for Mahakumbh","June 29, 2012 4:08 am",The chances of the Qila Ghat the most important ghat for the Mahakumbh next year getting to see the light of day has dimmed further with the mela administration doubtful about its technical feasibility.,"Feasibility doubtful,Qila Ghat may not be built for Mahakumbh. The chances of the Qila Ghat the most important ghat for the Mahakumbh next year getting to see the light of day has dimmed further with the mela administration doubtful about its technical feasibility.",The chances of the Qila Ghat the most important ghat for the Mahakumbh next year getting to see the light of day has dimmed further with the mela administration doubtful about its technical feasibility.,The chances of the Qila Ghat the most important ghat for the Mahakumbh next year getting to see the light of day has dimmed further with the mela administration doubtful about its technical feasibility.
"Mahakumbh: To woo clients,pandas digitising family tree records","June 15, 2012 3:01 am","Members of the Prayagwal community,popularly known as pandas,here are gradually taking to computerising the records of family trees in a bid to cater to their yajman better during the Mahakumbh.","Mahakumbh: To woo clients,pandas digitising family tree records. Members of the Prayagwal community,popularly known as pandas,here are gradually taking to computerising the records of family trees in a bid to cater to their yajman better during the Mahakumbh.","Members of the Prayagwal community,popularly known as pandas,here are gradually taking to computerising the records of family trees in a bid to cater to their yajman better during the Mahakumbh.","Members of the Prayagwal community,popularly known as pandas,here are gradually taking to computerising the records of family trees in a bid to cater to their yajman better during the Mahakumbh."
Work on ghat for Mahakumbh stopped after Army objects,"June 14, 2012 6:11 am",Work on one of the most important ghats coming up in the Sangam area on the bank of the Yamuna for the Mahakumbh has been stopped following objections from the army.,Work on ghat for Mahakumbh stopped after Army objects. Work on one of the most important ghats coming up in the Sangam area on the bank of the Yamuna for the Mahakumbh has been stopped following objections from the army.,Work on one of the most important ghats coming up in the Sangam area on the bank of the Yamuna for the Mahakumbh has been stopped following objections from the army.,Work on one of the most important ghats coming up in the Sangam area on the bank of the Yamuna for the Mahakumbh has been stopped following objections from the army.
Azam promises high-quality arrangements for Mahakumbh,"April 15, 2012 4:02 am",Urban Development Minister Azam Khan on Saturday said that arrangements for the Mahakumbh in January 2013 would be of high quality and would be ready on time.,Azam promises high-quality arrangements for Mahakumbh. Urban Development Minister Azam Khan on Saturday said that arrangements for the Mahakumbh in January 2013 would be of high quality and would be ready on time.,Urban Development Minister Azam Khan on Saturday said that arrangements for the Mahakumbh in January 2013 would be of high quality and would be ready on time.,Urban Development Minister Azam Khan on Saturday said that arrangements for the Mahakumbh in January 2013 would be of high quality and would be ready on time. 'The Mahakumbh in January 2013 would be of high quality and would be ready on time.
Got support from PM for Kumbh: Nishank,"January 12, 2010 3:28 am",Uttarakhand Chief Minister Ramesh Pokhriyal Nishank has credited the Centre-State cooperation for the preparations of the upcoming...,Got support from PM for Kumbh: Nishank. Uttarakhand Chief Minister Ramesh Pokhriyal Nishank has credited the Centre-State cooperation for the preparations of the upcoming...,Uttarakhand Chief Minister Ramesh Pokhriyal Nishank has credited the Centre-State cooperation for the preparations of the upcoming...,Got support from PM for Kumbh: Nishank. Uttarakhand Chief Minister Ramesh Pokhriyal Nishank has credited the Centre-State cooperation for the preparations...
